"날짜","종가","시가","고가","저가","변동 %"
"2025- 06- 05","2.871","2.855","2.881","2.846","-0.59%"
"2025- 06- 04","2.888","2.826","2.900","2.826","3.11%"
"2025- 06- 02","2.801","2.782","2.807","2.777","0.36%"
"2025- 05- 30","2.791","2.716","2.804","2.712","2.88%"
"2025- 05- 29","2.713","2.717","2.757","2.685","-0.15%"
"2025- 05- 28","2.717","2.712","2.720","2.696","-0.22%"
"2025- 05- 27","2.723","2.744","2.750","2.711","-1.77%"
"2025- 05- 26","2.772","2.765","2.772","2.732","0.62%"
"2025- 05- 23","2.755","2.739","2.782","2.739","0.40%"
"2025- 05- 22","2.744","2.799","2.813","2.744","-0.72%"
"2025- 05- 21","2.764","2.715","2.781","2.668","1.54%"
"2025- 05- 20","2.722","2.702","2.730","2.698","-0.98%"
"2025- 05- 19","2.749","2.691","2.749","2.670","2.19%"
"2025- 05- 16","2.690","2.679","2.699","2.671","-1.47%"
"2025- 05- 15","2.730","2.747","2.747","2.730","0.48%"
"2025- 05- 14","2.717","2.726","2.741","2.716","0.04%"
"2025- 05- 13","2.716","2.716","2.734","2.703","1.15%"
"2025- 05- 12","2.685","2.698","2.700","2.666","0.56%"
"2025- 05- 09","2.670","2.656","2.672","2.652","1.68%"
"2025- 05- 08","2.626","2.596","2.628","2.568","0.88%"
"2025- 05- 07","2.603","2.611","2.616","2.595","0.39%"
"2025- 05- 02","2.593","2.578","2.603","2.569","0.04%"
"2025- 04- 30","2.592","2.589","2.597","2.553","-0.73%"
"2025- 04- 29","2.611","2.580","2.611","2.580","0.89%"
"2025- 04- 28","2.588","2.564","2.590","2.555","0.23%"
"2025- 04- 25","2.582","2.599","2.620","2.571","-1.60%"
"2025- 04- 24","2.624","2.560","2.624","2.560","0.50%"
"2025- 04- 23","2.611","2.605","2.614","2.592","-0.31%"
"2025- 04- 22","2.619","2.619","2.631","2.602","0.69%"
"2025- 04- 21","2.601","2.610","2.624","2.601","-0.84%"
"2025- 04- 18","2.623","2.633","2.651","2.612","-0.23%"
"2025- 04- 17","2.629","2.635","2.700","2.618","-0.19%"
