종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","56800","-500","-0.87","3.36235434E8"
"000660","SK하이닉스","204500","4000","2.00","1.48876484E8"
"207940","삼성바이오로직스","1002000","4000","0.40","7.1316348E7"
"373220","LG에너지솔루션","290500","-16500","-5.37","6.7977E7"
"005380","현대차","193800","900","0.47","4.0584858E7"
"012450","한화에어로스페이스","841000","19000","2.31","3.9776105E7"
"329180","HD현대중공업","419500","3000","0.72","3.7240322E7"
"105560","KB금융","93600","0","0.00","3.683426E7"
"000270","기아","92000","800","0.88","3.6585882E7"
"068270","셀트리온","154000","500","0.33","3.4340444E7"
"035420","NAVER","187800","-1400","-0.74","2.975447E7"
"055550","신한지주","51800","100","0.19","2.5684619E7"
"042660","한화오션","81200","700","0.87","2.4880768E7"
"012330","현대모비스","255000","0","0.00","2.3713749E7"
"011200","HMM","22950","800","3.61","2.3524656E7"
"034020","두산에너빌리티","34300","2350","7.36","2.1971247E7"
"028260","삼성물산","123900","700","0.57","2.1060094E7"
"009540","HD한국조선해양","287000","-2000","-0.69","2.0311884E7"
"138040","메리츠금융지주","112800","-1100","-0.97","2.0305633E7"
"005490","POSCO홀딩스","247500","-2500","-1.00","2.0030906E7"
"086790","하나금융지주","66000","300","0.46","1.8957898E7"
"259960","크래프톤","382500","7500","2.00","1.8328711E7"
"015760","한국전력","28000","1500","5.66","1.7974994E7"
"000810","삼성화재","370000","0","0.00","1.7024127E7"
"010130","고려아연","821000","6000","0.74","1.6997395E7"
"032830","삼성생명","84300","800","0.96","1.686E7"
"035720","카카오","37400","-250","-0.66","1.6602381E7"
"033780","KT&G","119700","3800","3.28","1.4610881E7"
"051910","LG화학","193600","-8900","-4.40","1.3666678E7"
"402340","SK스퀘어","102600","1800","1.79","1.3598692E7"
"316140","우리금융지주","18040","-20","-0.11","1.3396351E7"
"267260","HD현대일렉트릭","365000","1500","0.41","1.3157204E7"
"096770","SK이노베이션","87400","-1000","-1.13","1.3200439E7"
"030200","KT","51400","400","0.78","1.2953915E7"
"010140","삼성중공업","14550","130","0.90","1.2804E7"
"024110","기업은행","15460","-10","-0.06","1.2328204E7"
"064350","현대로템","113900","2600","2.34","1.2431307E7"
"066570","LG전자","71300","-300","-0.42","1.1668089E7"
"352820","하이브","274500","1000","0.37","1.1433501E7"
"017670","SK텔레콤","52200","1100","2.15","1.1212041E7"
"006400","삼성SDI","164700","-5000","-2.95","1.1325518E7"
"323410","카카오뱅크","23250","100","0.43","1.1090004E7"
"003550","LG","68600","-300","-0.44","1.078743E7"
"018260","삼성에스디에스","129400","200","0.15","1.0012687E7"
"034730","SK","137100","-800","-0.58","9940121.0"
"009150","삼성전기","122600","400","0.33","9157447.0"
"079550","LIG넥스원","405000","17000","4.38","8910000.0"
"272210","한화시스템","47350","2450","5.46","8945333.0"
"042700","한미반도체","91500","9600","11.72","8840205.0"
"003230","삼양식품","1180000","189000","19.07","8888958.0"
"047810","한국항공우주","90100","1300","1.46","8782507.0"
"003670","포스코퓨처엠","111000","-3500","-3.06","8598417.0"
"000100","유한양행","106200","-800","-0.75","8518203.0"
"086280","현대글로비스","112600","-600","-0.53","8445000.0"
"180640","한진칼","122700","-2300","-1.84","8191732.0"
"003490","대한항공","22350","-300","-1.32","8229732.0"
"047050","포스코인터내셔널","46850","-800","-1.68","8241983.0"
"006800","미래에셋증권","13060","290","2.27","7448332.0"
"010120","LS ELECTRIC","243000","4000","1.67","7290000.0"
"443060","HD현대마린솔루션","163000","-3700","-2.22","7307161.0"
"326030","SK바이오팜","90700","0","0.00","7103012.0"
"021240","코웨이","97700","900","0.93","7089478.0"
"090430","아모레퍼시픽","123100","1800","1.48","7200459.0"
"010620","HD현대미포","173800","-300","-0.17","6941945.0"
"005830","DB손해보험","97100","-200","-0.21","6874680.0"
"000150","두산","404500","12500","3.19","6683891.0"
"009830","한화솔루션","38400","1400","3.78","6600673.0"
"267250","HD현대","82200","-200","-0.24","6493232.0"
"010950","S-Oil","51300","-500","-0.97","5775497.0"
"032640","LG유플러스","12930","-70","-0.54","5645385.0"
"088980","맥쿼리인프라","11570","40","0.35","5541127.0"
"298040","효성중공업","585000","7000","1.21","5454861.0"
"064400","LG씨엔에스","55100","-400","-0.72","5338416.0"
"005940","NH투자증권","16050","60","0.38","5256251.0"
"071050","한국금융지주","94500","1000","1.07","5266106.0"
"161390","한국타이어앤테크놀로지","40150","300","0.75","4973584.0"
"000720","현대건설","44600","1150","2.65","4966467.0"
"051900","LG생활건강","316000","-4000","-1.25","4935350.0"
"271560","오리온","123100","-200","-0.16","4866898.0"
"016360","삼성증권","54400","800","1.49","4857920.0"
"006260","LS","151000","6100","4.21","4862200.0"
"029780","삼성카드","42000","0","0.00","4866073.0"
"251270","넷마블","53000","2800","5.58","4555536.0"
"241560","두산밥캣","46750","350","0.75","4481271.0"
"034220","LG디스플레이","8570","-90","-1.04","4285000.0"
"278470","에이피알","112600","2100","1.90","4231683.0"
"377300","카카오페이","29550","-200","-0.67","3980193.0"
"000880","한화","53000","200","0.38","3972813.0"
"028050","삼성E&A","20150","-350","-1.71","3949400.0"
"128940","한미약품","293000","1000","0.34","3753620.0"
"011790","SKC","98700","-2300","-2.28","3737601.0"
"307950","현대오토에버","135200","-1200","-0.88","3707722.0"
"175330","JB금융지주","17870","-60","-0.33","3465135.0"
"035250","강원랜드","17040","-230","-1.33","3645546.0"
"036570","엔씨소프트","161700","6200","3.99","3483668.0"
"039490","키움증권","148200","1200","0.82","3627448.0"
"078930","GS","39000","-350","-0.89","3623700.0"
"011070","LG이노텍","147500","-1600","-1.07","3490898.0"
"001040","CJ","124500","-1900","-1.50","3632536.0"
"454910","두산로보틱스","50500","-200","-0.39","3273409.0"
"462870","시프트업","55900","900","1.64","3269296.0"
"097950","CJ제일제당","229500","-2500","-1.08","3454936.0"
"004020","현대제철","25000","-800","-3.10","3336145.0"
"036460","한국가스공사","36700","750","2.09","3387887.0"
"022100","포스코DX","22500","-400","-1.75","3420781.0"
"138930","BNK금융지주","10500","20","0.19","3343027.0"
"450080","에코프로머티","45750","-2750","-5.67","3199408.0"
"007660","이수페타시스","41400","-100","-0.24","3039142.0"
"302440","SK바이오사이언스","40100","-200","-0.50","3142603.0"
"489790","한화비전","59500","-3300","-5.25","3004059.0"
"017800","현대엘리베이터","73100","-1200","-1.62","2857653.0"
"011780","금호석유화학","109100","-2700","-2.42","2886741.0"
"004370","농심","454000","39000","9.40","2761519.0"
"383220","F&F","68800","-700","-1.01","2635527.0"
"026960","동서","25100","50","0.20","2502470.0"
"052690","한전기술","65100","5000","8.32","2488122.0"
"082740","한화엔진","28900","-200","-0.69","2411622.0"
"004990","롯데지주","23750","-150","-0.63","2491594.0"
"011170","롯데케미칼","58300","-400","-0.68","2493807.0"
"012750","에스원","67400","2200","3.37","2561145.0"
"008930","한미사이언스","36450","3150","9.46","2492872.0"
"111770","영원무역","53100","2500","4.94","2352939.0"
"139480","이마트","84500","-1800","-2.09","2331847.0"
"192820","코스맥스","210000","1500","0.72","2383397.0"
