제목,본문,목표가,투자의견,작성일,증권사
"AI투자가 지속되면, MLB 기판 쇼티지 예상","1Q 리뷰 : 4공장 가동이 시작되지 않았는데, 수익성은 반등 시작
24년 1분기 영업이익은 230억원을 기록했다. 컨센서스를 상회했지만 최근 시장 기대치가 250억원까지 높아졌음을 고려하면 기대치 수준의 실적이라 평가한다. 1분기 OPM은 12%다. 미래의 수익성이 기대된다. 1분기 실적 개선의 배경은 다음과 같다. ① 본사의 하이엔드 기판 수익성이 향상됐다. 주력 고객사의 제품믹스가 개선됐기 때문이다. AI 전략 고객사 향 공급은 아직 본격화되지 않았음에도 수익성이 높아진다. ② 부진했던 네트워크용 MLB 주문도 늘고 있다. ③ 북미 법인은 흑자전환했다. 지역별 캐파(생산능력) 배분 효율화 효과다. ④ 중국 법인의 영업이익률은 15%를 상회했다.","55,500",매수,24.05.16,SK증권
1Q24Review : 어닝서프라이즈,"1Q24 Review
1Q24 매출액 3,410억원(YoY +13.5%), 영업이익 180억원(YoY +9.0%, OPM 5.4%를 기록했다. 당사 추정 영업이익 110억원 대비해서 대폭상회하는 실적이다. 전기동 가격상승 영향으로 전선 사업부 매출액 성장률이 높아졌으며, 중전기 부문에서는 영업이익률이 개선되었다. 또한 환율상승의 영향으로 영업이익률에 긍정적인 영향을 준 것으로 추측된다. 특히 중전기부문에서 영업이익 160억원(YoY +130%, OPM 20.8%)을 기록했는데, 수익성이 높은 북미향 매출액이 증가한 영향으로 추측한다. 1Q24 수주잔고 2조 1,120억원(YoY +95.3%), 이 중에서 전력선 부문은 8,300억원(YoY +56.5%), 중전기 부문은 1조 2,820억원(YoY +303.4%)이다. 중전기의 수주잔고역시 계속해서 상승하고 있다.","30,000",매수,24.05.16,SK증권
좌표는 PER 10x,"기대 대비 양호한 실적, 주주환원 관련 우려 無
화재의 안정적인 이익 흐름을 기반으로 기대치를 상회하는 양호한 실적. PER 10x 기준, 자사주 매입·소각에 따른 기계적인 적정주가는 2024년 11.9만원, 2025년 12.7만원. 현재 주가에서는 사지 않을 이유 없음","120,000",매수,24.05.16,신한투자증권
믹스 개선에 따른 200% 넘는 이익 성장,"1분기 계절적 비수기에도 211%의 이익 성장 달성
1분기 연결 매출액 4,666억원 (+23% YoY), 영업이익 460억원 (+211% YoY), 영업이익률 9.9%를 기록했다. 세방리튬의 일시적 영업 손실 25억원을 감안하면 실제 영업 이익률은 10.4%로 10년 내 최고치를 매 분기마다 경신 중이다. 이번 실적은 일회성 이익 없이 경상적 수준의 매출과 영업이익의 성장이었다는 측면에서 큰 의미가 있다. 이번 실적을 통해 확인된 것은 1) 하이브리드 차량향을 필두로 한 AGM의 높은 수요, 2) 마진율이 상대적으로 높은 AS향 판매 비중의 증가, 3) 전략적 판매 전략과 수익성 중심의 운영에 따른 매출 원가 개선 (87% > 81%), 4)자회사 세방 리튬의 매출 성장 (+134% YoY)이다.","150,000",매수,24.05.16,DS투자증권
1Q24 Re: 계속 올라가 보자구요(QnA 포함),"1Q24 Re: 계속 올라가 보자구요
대한통운을 제외한 1분기 연결 매출 및 영업이익은 각각 4조 4,442억원(YoY 0.8%), 2,670억원(YoY 77.5%)으로 시장 기대치 상회. 식품 물량 회복+원재료 투입 단가 하락으로 손익 큰 폭 개선. 최근 바이오 회복 흐름도 긍정적. ① 국내 식품은 YoY 4% 성장. 가공 식품 YoY 18%, 소재 YoY -19%. 가공식품은 명절 시점 차이 및 내식 수요 회복 효과로 견조했음. 온라인 채널 판매 확대(+34%)도 긍정적. 가공식품 물량 +Mid-teen 성장 추산(선물세트 제외). 소재는 전년 높은 판가 상승이 부담으로 작용. 이익은 전반적인 곡물 투입가 하락 및 비용 효율화로 큰 폭 증가. ② 해외 식품은 YoY 2% 성장. 미주 매출은 YoY 9% 성장. 전년 높은 기저에도 피자 +12%, 만두 +12% 고성장 지속. 그 외, 상온밥/냉동밥 등도 견조한 흐름. 미주 외 지역도 고성장세. 유럽은 영국 코스트코 판매 호조로 YoY 45% 성장. 호주도 작년 5월 올워스 입점 효과로 YoY 70% 시현. 다만, 중국 지상쥐 매각 영향 및 일본 수익성 중심 경영 기조에 따른 매출 감소로 상쇄. 지상쥐는 올해 7월까지 연결 제거 영향 존재. ③ 바이오는 고마진 제품 트립토판 YoY +44%, 스페셜티 +32% 판매 확대로 OPM YoY +3.2%p 증가. 스페셜티 비중은 YoY +7%p up. 대형 아미노산도 3월 중순부터 spot 가격 반등세. 주력 지역 미주 내 중국 경쟁사 해상운임 급등 영향으로 동사 제품 상대적 우위 있는 것으로 파악. ④ Feed&Care은 축산 제조원가 작년 4분기 고점 통과 이후 적자 폭 크게 축소. 베트남 돈가 반등 및 축산 원가 안정화 효과. 2분기에도 마진스프레드 QoQ 개선 전망.","410,000",Buy,24.05.16,교보증권
1Q24 Re: 시장 기대치 상회,"1Q24 Re: 시장 기대치 상회
1분기 연결 매출액 및 영업이익은 각각 6,211억원(YoY 2.9%), 484억원(YoY 25.0%)으로 시장 기대치(455억원) 상회. 작년 낮은 기저 및 마케팅비 지출 축소로 이익 개선 주도. 전반적인 주류 업황은 회식 2차 문화 축소, 내수 경기 둔화 흐름으로 부진했던 것으로 파악. ① 맥주(연결) 매출 및 영업이익은 각각 1,927억원(YoY 4.8%), 73억원(YoY 흑전, OPM 3.8%) 시현. 국내 맥주 매출 YoY 12% 증가. 국내 맥주 시장(물량 기준) YoY ?low-single 감소 추산. 하이트진로는 켈리/테라 투 트랙 전략으로 M/S 소폭 확대하며, 물량 기준 +mid-single 성장. 작년 11월 맥주 가격 평균 6.8% 인상 효과도 주효했음. ② 소주(연결) 매출 및 영업이익은 각각 3,748억원(YoY 2.3%), 영업이익 388억원(YoY -10.6%, OPM 10.3%) 시현. 국내 소주(레귤러+기재주) 매출은YoY Flat 시현. 국내 소주 시장(물량 기준) YoY ?mid-single 감소 추산. 동사 소주 물량도 유사한 흐름. 수출은 제품 리뉴얼 기인한 재고 조정으로 부진했던 것으로 파악. 이익은 가격 인상 효과에도 불구하고, 원재료 주정 가격 인상 기저(‘23년 4월) 및 작년 이연된 판관비 지출로 감소. ③ 연결 기준 마케팅 비용은 YoY -184억원 감소해 이익 개선에 기여.","29,000",Buy,24.05.16,교보증권
"1Q24 Review: 견고한 Retail 경쟁력, 그리고 ..","2024년 1분기 당기순이익 2,531억원, QoQ 흑자전환, YoY 0.2%↑
삼성증권의 2024년 1분기 당기순이익(연결기준)은 2,531억원으로 전분기대비 흑자 전환했고, 전년동기대비 0.2% 소폭 증가했으며, 교보증권 예상을 14.3% 상회함. 이익이 전분기 대비 증가한 이유는 일평균 거래대금 증가와 해외주식 거래 증가에 다른 수탁수수료수익이 늘었고, 주식시장 호조로 상품운용손익 및 금융수지 수익이 증가했기 때문. 삼성증권의 2024년 1분기 순수탁수수료수익은 1,492억원으로 전분기 및 전년동기대비 각각 60.4%, 33.9% 증가함. 금융상품판매수익은 454억원으로 전분기대비 2.3% 증가했고, 전년동기에 비해서는 39.5% 감소했는데, ELS 판매 감소에 기인함. 2024년 3월말 기준 리테일 고객자산은 313.9조원으로 전분기 및 전년동기대비 각가 6.3%, 13.2% 증가하면서 견조한 상승흐름이 지속되고 있음. 해외주식 예탁자산은 21.5조원 사상 최대 규모를 갱신 중임. 운용손익 및 금융수지부문은 2,871억원으로 전분기대비 흑자 전환했고, 전년동기에 비해서는 8.5% 감소했는데, 금융시장 변동성을 고려한다면 견조한 수준을 시현한 것으로 판단됨. IB관련 인수및자문수수료도 771억원으로 전분기 및 전년동기대비 각각 3.9%, 70.6% 증가세 시현.","50,000",Buy,24.05.16,교보증권
"P↑, Q↑, C↓로 달라진 체질","1Q24 영업이익 230억원, 어닝 서프라이즈
1Q24 매출액 1,996억원(+15% QoQ, +16% YoY), 영업이익 230억원(+117% QoQ, +14% YoY), opm 12%로, 시장 기대치(165억원)를 상회했다. 제한된 Capa에도 불구하고 고부가 제품 비중 확대를 통해 역대 최대 매출액을 기록했으며, 수익성 또한 기대 이상이었다. 특히 페타시스의 AI 가속기용 매출액이 +45% QoQ 증가했고, 중국 후난 법인은 중다층 이상의 고부가제품 비중이 70%(+10%p QoQ, +13%p YoY)까지 확대되며 양적, 질적 성장을 견인했다. 더불어 3개 분기 연속 적자가 지속됐던 미국법인 또한 턴어라운드에 성공했다. 전반적으로 모든 법인이 고부가 제품 확대에 집중한 가운데 일회성 비용 등이 해소되며 호실적을 시현했다.","54,000",Buy,24.05.16,키움증권
시장 운임 대비 낮은 운임,"투자의견 중립, 목표주가 17,000원 유지
HMM의 2024년 1분기 실적은 당사 및 시장 기대치를 하회. 홍해 사태로 급등한 Spot운임만큼 동사의 평균 운임의 상승폭은 예상보다 낮았기 때문임 2024년 1분기 SCFI는 2,010p(+107.4% yoy), USWC는 $4,093/FEU(+223.3% yoy), Europe은 $2,505/TEU(+170.5% yoy)를 기록했지만, 동사의 평균운임률은 $1,350/TEU(+27.3% yoy)로 SCFI 종합지수 운임 상승률의 약 25%의 상승률을 기록함 홍해 사태의 장기화를 예상하지 못한 하주들에 대해 2023년 연간 계약 운임 조정이 크지 못했기 때문임. 2024년 연간운임계약은 2023년 계약운임대비 높은 수준에서 체결되어 2분기 영업이익은 1분기대비 증가할 전망. 하지만 2024~25년 신조선 인도가 지속되고 있어 운임의 상승세는 지속되기 어려울 것으로 예상함","17,000",MarketPerform,24.05.16,대신증권
더블 모멘텀: 가동률 상승 + 원재료 가격 하..,"1Q24 영업이익 342억원 기록
한솔케미칼의 1Q24 실적이 매출액 1,979억원(+3%QoQ)과 영업이익 342억원(+63%QoQ)으로 전 분기 대비 크게 회복됐지만, 당시 예상치(매출액 2,031억원, 영업이익 376억원)는 하회했다. 삼성전자의 메모리 반도체 가동률 회복과 QD 소재의 판매량 개선으로 인해 매출액이 증가했지만, 영업이익은 연결법인인 테이팩스의 수익성 악화로 인해 기대치를 밑돌았다. 다만 테이팩스의 매출액이 점진적으로 회복되고 있기 때문에, 1Q24 저조했던 수익성이 지속될 것으로 우려할 필요는 없어 보인다. 사업 부문별 매출액은 정밀화학(3%QoQ), 전자 및 이차전지 소재 661억원(+17%QoQ), 제지/환경제품 257억원(-10%QoQ), 기타/연결법인 570억원(+2%QoQ)을 각각 기록했다.","270,000",Buy,24.05.16,키움증권
